Table 1
"LAGOS STATE UNIVERSITY TEACHING HOSPITAL PRICE LIST 
(LASUTH SERVICES ONLY)",,,,,,,,
S/N,AREA,REVENUE DESCRIPTION,NEW PRICE,,,,,
,,,,,,,,
1,ACCOMMODATION,"EMERGENCY WARDS ACCOMODATION (daily)
Medical Emergency Ward
Surgical Emergency Ward
Paediatrics Emergency -Free","5,000 Adult only

Free for Paed.",,,,,
2,,"GENERAL WARD ACCOMMODATION (daily):
BT Wards
Medical Wards
Surgical Wards","5,000",,,,,
3,,LASUTH PRIVATE WARDS ACCOMMODATION (daily),"10,000",,,,,
4,,MALE MEDICAL B PRIVATE WARDS (daily),"12,500",,,,,
5,,MALE MEDICAL B OPEN WARDS (daily),"7,500",,,,,
6,,SDG GENERAL WARDS ACCOMMODATION (daily),"7,500",,,,,
7,,SDG STANDARD PRIVATE WARD ACCOMMODATION (daily),"20,000",,,,,
8,,SDG EXECUTIVE PRIVATE WARD ACCOMMODATION (daily),"50,000",,,,,
9,,O&G EMERGENCY WARD ACCOMMODATION (daily),"7,500",,,,,
10,,O&G GENERAL WARDS ACCOMMODATION (daily),"7,500",,,,,
11,,O&G PRIVATE SINGLE ROOM ACCOMMODATION (daily),"19,500",,,,,
12,,O&G PRIVATE DOUBLE ROOM ACCOMMODATION (daily),"13,000",,,,,
,,,,,,,,
13,ADMISSION AND EMERGENCY TREATMENT,TREATMENT CARD,"5,000 Adult

2,000 Paed.",,,,,
14,,FOLDER,"10,000 Adult

2,000 Paed.",,,,,
15,,UTILITY,"20,000",,,,,
16,,OXYGEN (per day),"30,000",,,,,
17,,EMERGENCY OBSERVATION FEE  -MESD/ LASEMS,"10,000",,,,,
18,,EMERGENCY MEDICAL SERVICES (EMS) -MESD/ LASEMS,"10,000",,,,,
19,,"EMERGENCY ADMISSION FEE AT MESD (first 10 days)
","EMERGENCY ADMISSION FEE AT MESD (first 10 days):
Adm pack                           -#28,000
Diet                                    -#10,000 (daily)
Casualty (Accm)              -#5,000 (daily)
Utility                                 -#20,000
Emerg. Drugs (lafarm 08)   -#5,000
TOTAL                       -#203,000",,,,,
20,,"EMERGENCY ADMISSION FEE AT LASEMS (first 10 days)
(no diet given/ paid for)","EMERGENCY ADMISSION FEE AT LASEMS (first 10 days):
Adm pack                           -#28,000
Casualty (Accm)              -#5,000 (daily)
Utility                                 -#20,000
Emerg. Drugs (lafarm 08)   -#5,000
TOTAL                        -#103,000
Diet (no diet given/ paid for)",,,,,
21,,ADMISSION TO THE WARD FROM THE EMERGENCY (first 10 days),"ADMISSION TO THE WARD FROM THE EMERGENCY (first 10 days):
Accommodation  -#5,000 (daily)
Diet                    -#10,000 (daily)
TOTAL           -#150,000",,,,,
22,,ADMISSION TO THE WARD FROM THE CLINIC (first 10 days),"ADMISSION TO THE WARD FROM THE CLINIC (first 10 days):
Adm pack            -#28,000
Utility                  -#20,000
Accommodation  -#5,000 (daily)
Diet                    -#10,000 (daily)
TOTAL          -#198,000",,,,,
,,,,,,,,
23,ALL DIET FEES,"EMERGENCY DIET (daily):
Medical Emergency Ward
Surgical Emergency Ward (no diet given/ paid for)
Paediatrics Emergency Ward -Free","10,000 Adult only
Free for Paed.",,,,,
24,,"GENERAL WARD DIET (daily):
BT Wards
Medical Wards
Surgical Wards","10,000",,,,,
25,,LASUTH PRIVATE WARDS DIET (daily),"12,000",,,,,
26,,MALE MEDICAL B OPEN WARD (daily),"10,000",,,,,
27,,SDG GENERAL WARDS DIET (daily),"10,000",,,,,
28,,SDG STANDARD PRIVATE WARD DIET (daily),"20,000",,,,,
29,,SDG EXECUTIVE PRIVATE WARD DIET (daily),"30,000",,,,,
30,,MALE MEDICAL B PRIVATE WARD (daily),"12,000",,,,,
31,,O&G EMERGENCY WARD DIET (daily),"10,000",,,,,
32,,AYINKE GENERAL WARD DIET (daily),"10,000",,,,,
33,,AYINKE PRIVATE WARD DIET (daily),"12,000",,,,,
34,,STROKE WARD DIET (daily),"12,000",,,,,
,,,,,,,,
35,AMBULANCE RATE,WITHIN LASUTH (with/ without oxygen),Free,,,,,
36,,OUTSIDE LASUTH,"15,000",,,,,
,,,,,,,,
37,CSSD,Lumber Puncture,"5,000",,,,,
38,,Biopsy,"5,000",,,,,
39,,Suctioning,"5,000",,,,,
40,,Cut Down,"10,000",,,,,
,,,,,,,,
41,"DENTAL UNIT:
ORAL AND MAXILLOFACIAL SURGERY",EXTRACTION OF ALL TEETH/ RETAINED ROOT/ FRACTURED TOOTH,"15,000",,,,,
42,,SURGICAL EXTRACTION,"25,000",,,,,
43,,SUTURING,"20,000",,,,,
44,,SURGICAL EXPOSURE OF TEETH,"30,000",,,,,
45,,INCISIONAL BIOPSY (Oral & Max.),"15,000",,,,,
46,,EXCISIONAL BIOPSY (Oral & Max.),"35,000",,,,,
47,,SPLINT,"25,000",,,,,         cl
48,,INCISION & DRAINAGE (I&D),"30,000",,,,,
49,,EXTRACTION + I & D,"40,000",,,,,
50,,IMF,"70,000",,,,,
51,,IMF WITH EXTENSION?,"95,000",,,,,
52,,ENUCLEATION,"70,000",,,,,
,,,,,,,,
53,"DENTAL UNIT:
ORAL PATHOLOGY AND ORAL MEDICINE",SIALOMETRY,"6,000",,,,,
54,,PULP VITALITY TEST,"4,000",,,,,
55,,PATHERGY TEST,"4,000",,,,,
56,,VITAL STAINING,"4,000",,,,,
57,,ASSISTED ORAL MALODOUR TEST -INSTRUMENT,"15,000",,,,,
58,,PERIAPICAL RADIOGRAPH,"5,000",,,,,
59,,PUNCH BIOPSY,"20,000",,,,,
60,,INCISIONAL BIOPSY (Oral Path. & Oral Med.),"15,000",,,,,
61,,EXCISIONAL BIOPSY (Oral Path. & Oral Med.),"35,000",,,,,
62,,CHEMICAL CAUTERIZATION,"20,000",,,,,
63,,TMJ DISLOCATION REDUCTION,"10,000",,,,,
64,,ACUTE PAIN REDUCTION,"5,000",,,,,
,,,,,,,,
65,"DENTAL UNIT:
ORTHODONTIC UNIT",UPPER AND LOWER FIXED APPLIANCE,"600,000",,,,,
66,,ONE ARCH FIXED APPLIANCE,"450,000",,,,,
